Year,Month,Monthly Discharge Wastewater
2012,1,18.02
2012,2,18.35
2012,3,20.94
2012,4,17.1
2012,5,16.63
2012,6,15.11
2012,7,14.87
2012,8,15.62
2012,9,17.42
2012,10,16.06
2012,11,15.19
2012,12,16.21
2013,1,18.46
2013,2,20.47
2013,3,18.86
2013,4,18.96
2013,5,18.78
2013,6,20.27
2013,7,20.01
2013,8,16.49
2013,9,15.5
2013,10,15.08
2013,11,15.17
2013,12,17.8
2014,1,17.22
2014,2,18.82
2014,3,21.57
2014,4,19.8
2014,5,16.73
2014,6,18.58
2014,7,17.33
2014,8,18.25
2014,9,17.44
2014,10,16.98
2014,11,16.3
2014,12,16.39
2015,1,19.8
2015,2,20.03
2015,3,22.06
2015,4,18.99
2015,5,16.42
2015,6,14.98
2015,7,15.05
2015,8,14.24
2015,9,15.87
2015,10,17.82
2015,11,20.81
2015,12,23.51
2016,1,20.98
2016,2,23.18
2016,3,20.73
2016,4,19.68
2016,5,20.17
2016,6,18.05
2016,7,20.45
2016,8,17.44
2016,9,17.8
2016,10,19.61
2016,11,15.58
2016,12,15.8
2017,1,19.33
2017,2,15.61
2017,3,17.47
2017,4,21.12
2017,5,20
2017,6,18.45
2017,7,15.98
2017,8,15.81
2017,9,15.59
2017,10,15.48
2017,11,15.7
2017,12,15.59
2018,1,18.29
2018,2,19.34
2018,3,21.1
2018,4,21.37
2018,5,20.78
2018,6,17.74
2018,7,16.62
2018,8,19.61
2018,9,21.76
2018,10,19.67
2018,11,24.99
2018,12,26.39
2019,1,24.61
2019,2,26.49
2019,3,23.84
2019,4,25.34
2019,5,18.19
2019,6,18.01
2019,7,16.79
2019,8,17.66
2019,9,15.92
2019,10,16.4
2019,11,17.2
2019,12,18.19
2020,1,21.49
2020,2,25.14
2020,3,18.06
2020,4,17.95
2020,5,21.62
2020,6,18
2020,7,16.82
2020,8,18.82
2020,9,18.75
2020,10,18.43
2020,11,18.59
2020,12,23.36
2021,1,22.4
2021,2,26.47
2021,3,19.36
2021,4,18.15
2021,5,16.4
2021,6,17.54
2021,7,17.94
2021,8,17.42
2021,9,18.18
2021,10,17.49
2021,11,16.32
2021,12,15.76